"class","family","genus","species","valid_genus","valid_species","bodySize","ref_bodysize"
"Actinopterygii","Blenniidae","Parablennius","serratolineatus","Parablennius","serratolineatus",35.1,"Imputed"
"Actinopterygii","Blenniidae","Petroscirtes","fallax","Petroscirtes","fallax",9.5,"Fishbase2022"
"Actinopterygii","Blenniidae","Petroscirtes","lupus","Petroscirtes","lupus",13,"Fishbase2022"
"Actinopterygii","Blenniidae","Plagiotremus","laudandus","Plagiotremus","laudandus",8,"Fishbase2022"
"Actinopterygii","Blenniidae","Plagiotremus","rhinorhynchos","Plagiotremus","rhinorhynchos",12,"Fishbase2022"
"Actinopterygii","Blenniidae","Plagiotremus","tapeinosoma","Plagiotremus","tapeinosoma",14,"Fishbase2022"
"Actinopterygii","Blenniidae","Salarias","fasciatus","Salarias","fasciatus",14,"Fishbase2022"
"Actinopterygii","Blenniidae","Stanulus","talboti","Stanulus","talboti",4.8,"Fishbase2022"
"Actinopterygii","Bovichtidae","Bovichtus","angustifrons","Bovichtus","angustifrons",28,"Fishbase2022"
"Actinopterygii","Caesionidae","Caesio","caerulaurea","Caesio","caerulaurea",35,"Fishbase2022"
"Actinopterygii","Caesionidae","Caesio","cuning","Caesio","cuning",60,"Fishbase2022"
"Actinopterygii","Caesionidae","Caesio","lunaris","Caesio","lunaris",40,"Fishbase2022"
"Actinopterygii","Caesionidae","Caesio","teres","Caesio","teres",40,"Fishbase2022"
"Actinopterygii","Caesionidae","Pterocaesio","digramma","Pterocaesio","digramma",30,"Fishbase2022"
"Actinopterygii","Caesionidae","Pterocaesio","marri","Pterocaesio","marri",35,"Fishbase2022"
"Actinopterygii","Caesionidae","Pterocaesio","tile","Pterocaesio","tile",30,"Fishbase2022"
"Actinopterygii","Caesionidae","Pterocaesio","trilineata","Pterocaesio","trilineata",20,"Fishbase2022"
"Actinopterygii","Callanthiidae","Callanthias","australis","Callanthias","australis",49,"Fishbase2022"
"Actinopterygii","Callionymidae","Anaora","tentaculata","Anaora","tentaculata",6,"Fishbase2022"
"Actinopterygii","Callionymidae","Eocallionymus","papilio","Eocallionymus","papilio",10,"Fishbase2022"
"Actinopterygii","Callionymidae","Synchiropus","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Carangidae","Atule","mate","Atule","mate",30,"Fishbase2022"
"Actinopterygii","Carangidae","Carangoides","ferdau","Carangoides","ferdau",70,"Fishbase2022"
"Actinopterygii","Carangidae","Carangoides","fulvoguttatus","Carangoides","fulvoguttatus",120,"Fishbase2022"
"Actinopterygii","Carangidae","Carangoides","orthogrammus","Carangoides","orthogrammus",75,"Fishbase2022"
"Actinopterygii","Carangidae","Carangoides","plagiotaenia","Carangoides","plagiotaenia",50,"Fishbase2022"
"Actinopterygii","Carangidae","Caranx","ignobilis","Caranx","ignobilis",170,"Fishbase2022"
"Actinopterygii","Carangidae","Caranx","lugubris","Caranx","lugubris",100,"Fishbase2022"
"Actinopterygii","Carangidae","Caranx","melampygus","Caranx","melampygus",117,"Fishbase2022"
"Actinopterygii","Carangidae","Caranx","papuensis","Caranx","papuensis",88,"Fishbase2022"
"Actinopterygii","Carangidae","Caranx","sexfasciatus","Caranx","sexfasciatus",120,"Fishbase2022"
"Actinopterygii","Carangidae","Caranx","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Carangidae","Decapterus","macarellus","Decapterus","macarellus",46,"Fishbase2022"
"Actinopterygii","Carangidae","Decapterus","muroadsi","Decapterus","muroadsi",50,"Fishbase2022"
"Actinopterygii","Carangidae","Elagatis","bipinnulata","Elagatis","bipinnulata",180,"Fishbase2022"
"Actinopterygii","Carangidae","Gnathanodon","speciosus","Gnathanodon","speciosus",120,"Fishbase2022"
"Actinopterygii","Carangidae","Pseudocaranx","dentex","Pseudocaranx","dentex",122,"Fishbase2022"
"Actinopterygii","Carangidae","Pseudocaranx","georgianus","Pseudocaranx","georgianus",122,"Fishbase2022"
"Actinopterygii","Carangidae","Pseudocaranx","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Carangidae","Pseudocaranx","wrighti","Pseudocaranx","wrighti",70,"Fishbase2022"
"Actinopterygii","Carangidae","Scomberoides","lysan","Scomberoides","lysan",110,"Fishbase2022"
"Actinopterygii","Carangidae","Seriola","hippos","Seriola","hippos",150,"Fishbase2022"
"Actinopterygii","Carangidae","Seriola","lalandi","Seriola","lalandi",250,"Fishbase2022"
"Actinopterygii","Carangidae","Seriola","spp.",NA,NA,35.1,"Imputed"
"Actinopterygii","Carangidae","Trachinotus","blochii","Trachinotus","blochii",110,"Fishbase2022"
"Actinopterygii","Carangidae","Trachurus","declivis","Trachurus","declivis",64,"Fishbase2022"
"Actinopterygii","Carangidae","Trachurus","novaezelandiae","Trachurus","novaezelandiae",50,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Amphichaetodon","howensis","Amphichaetodon","howensis",18,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","adiergastos","Chaetodon","adiergastos",20,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","assarius","Chaetodon","assarius",13,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","aureofasciatus","Chaetodon","aureofasciatus",12.5,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","auriga","Chaetodon","auriga",23,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","baronessa","Chaetodon","baronessa",16,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","bennetti","Chaetodon","bennetti",20,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","citrinellus","Chaetodon","citrinellus",13,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","decussatus","Chaetodon","decussatus",20,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","ephippium","Chaetodon","ephippium",30,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","flavirostris","Chaetodon","flavirostris",20,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","guentheri","Chaetodon","guentheri",18,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","kleinii","Chaetodon","kleinii",15,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","lineolatus","Chaetodon","lineolatus",30,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","lunula","Chaetodon","lunula",20,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","lunulatus","Chaetodon","lunulatus",14,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","melannotus","Chaetodon","melannotus",18,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","mertensii","Chaetodon","mertensii",12.5,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","meyeri","Chaetodon","meyeri",20,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","ocellicaudus","Chaetodon","ocellicaudus",15,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","ornatissimus","Chaetodon","ornatissimus",20,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","pelewensis","Chaetodon","pelewensis",12.5,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","plebeius","Chaetodon","plebeius",15,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","punctatofasciatus","Chaetodon","punctatofasciatus",12,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","rafflesii","Chaetodon","rafflesii",18,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","rainfordi","Chaetodon","rainfordi",15,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","reticulatus","Chaetodon","reticulatus",18,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","semeion","Chaetodon","semeion",26,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","speculum","Chaetodon","speculum",18,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","tricinctus","Chaetodon","tricinctus",15,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","trifascialis","Chaetodon","trifascialis",18,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","ulietensis","Chaetodon","ulietensis",15,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","unimaculatus","Chaetodon","unimaculatus",20,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chaetodon","vagabundus","Chaetodon","vagabundus",23,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chelmon","marginalis","Chelmon","marginalis",18,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chelmon","muelleri","Chelmon","muelleri",20.5,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chelmon","rostratus","Chelmon","rostratus",20,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chelmonops","curiosus","Chelmonops","curiosus",26,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Chelmonops","truncatus","Chelmonops","truncatus",22,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Coradion","altivelis","Coradion","altivelis",18,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Coradion","chrysozonus","Coradion","chrysozonus",15,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Forcipiger","flavissimus","Forcipiger","flavissimus",22,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Forcipiger","longirostris","Forcipiger","longirostris",22,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Hemitaurichthys","polylepis","Hemitaurichthys","polylepis",18,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Heniochus","acuminatus","Heniochus","acuminatus",25,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Heniochus","chrysostomus","Heniochus","chrysostomus",18,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Heniochus","diphreutes","Heniochus","diphreutes",21,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Heniochus","monoceros","Heniochus","monoceros",24,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Heniochus","singularius","Heniochus","singularius",30,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Heniochus","varius","Heniochus","varius",19,"Fishbase2022"
"Actinopterygii","Chaetodontidae","Parachaetodon","ocellatus","Parachaetodon","ocellatus",18,"Fishbase2022"
"Actinopterygii","Cheilodactylidae","Cheilodactylus","ephippium","Cheilodactylus","ephippium",20,"Fishbase2022"
"Actinopterygii","Cheilodactylidae","Cheilodactylus","francisi","Goniistius","francisi",27.4,"Fishbase2022"
"Actinopterygii","Cheilodactylidae","Cheilodactylus","fuscus","Morwong","fuscus",65,"Fishbase2022"
"Actinopterygii","Cheilodactylidae","Cheilodactylus","gibbosus","Cheilodactylus","gibbosus",30,"Fishbase2022"
"Actinopterygii","Cheilodactylidae","Cheilodactylus","rubrolabiatus","Goniistius","rubrolabiatus",35.1,"Imputed"
"Actinopterygii","Cheilodactylidae","Cheilodactylus","spectabilis","Chirodactylus","spectabilis",100,"Fishbase2022"
"Actinopterygii","Cheilodactylidae","Cheilodactylus","vestitus","Cheilodactylus","vestitus",35,"Fishbase2022"
"Actinopterygii","Cheilodactylidae","Dactylophora","nigricans","Dactylophora","nigricans",120,"Fishbase2022"
"Actinopterygii","Cheilodactylidae","Nemadactylus","douglasii","Nemadactylus","douglasii",81,"Fishbase2022"
"Actinopterygii","Cheilodactylidae","Nemadactylus","macropterus","Nemadactylus","macropterus",70,"Fishbase2022"
"Actinopterygii","Cheilodactylidae","Nemadactylus","valenciennesi","Nemadactylus","valenciennesi",90,"Fishbase2022"
"Actinopterygii","Cheilodactylidae","Pseudogoniistius","nigripes","Pseudogoniistius","nigripes",41,"Fishbase2022"
"Actinopterygii","Chironemidae","Chironemus","maculosus","Chironemus","maculosus",35,"Fishbase2022"
"Actinopterygii","Chironemidae","Chironemus","marmoratus","Chironemus","marmoratus",40,"Fishbase2022"
"Actinopterygii","Cirrhitidae","Cirrhitichthys","aprinus","Cirrhitichthys","aprinus",12.5,"Fishbase2022"
"Actinopterygii","Cirrhitidae","Cirrhitichthys","falco","Cirrhitichthys","falco",7,"Fishbase2022"
"Actinopterygii","Cirrhitidae","Cirrhitichthys","oxycephalus","Cirrhitichthys","oxycephalus",10,"Fishbase2022"
"Actinopterygii","Cirrhitidae","Cyprinocirrhites","polyactis","Cyprinocirrhites","polyactis",15,"Fishbase2022"
"Actinopterygii","Cirrhitidae","Notocirrhitus","splendens","Notocirrhitus","splendens",20,"Fishbase2022"
"Actinopterygii","Cirrhitidae","Paracirrhites","arcatus","Paracirrhites","arcatus",20,"Fishbase2022"
"Actinopterygii","Cirrhitidae","Paracirrhites","forsteri","Paracirrhites","forsteri",22,"Fishbase2022"
"Actinopterygii","Clinidae","Cristiceps","aurantiacus","Cristiceps","aurantiacus",22,"Fishbase2022"
"Actinopterygii","Clinidae","Heteroclinus","heptaeolus","Heteroclinus","heptaeolus",10,"Fishbase2022"
"Actinopterygii","Clinidae","Heteroclinus","perspicillatus","Heteroclinus","perspicillatus",20,"Fishbase2022"
"Actinopterygii","Clinidae","Heteroclinus","spp.",NA,NA,35.1,"Imputed"
