"latitude","longitude"
-32.75,152.17
-32.72,152.15
-32.72,152.14
-16.93,145.98
-16.93,145.99
-16.79,146.27
-16.73,146.27
-16.78,146.27
-26.12,113.18
-26.14,113.17
-26.16,113.22
-26.12,113.24
-20.61,116.6
-20.58,116.54
-20.57,116.54
-20.57,116.61
-20.53,116.66
-20.55,116.64
-20.61,116.46
-20.55,116.63
-20.58,116.57
-20.54,116.53
-20.58,116.53
-20.57,116.58
-20.62,116.51
-20.62,116.52
-20.51,116.65
-30.02,153.27
-30.16,153.23
-30.15,153.23
-28.61,153.63
-27.4,153.44
-27.41,153.53
-27.39,153.55
-29.98,153.23
-24.84,152.48
-24.88,152.49
-20.04,148.88
-23.11,113.75
-23.33,113.78
-23.32,113.78
-23.12,113.76
-19.81,149.07
-23.18,113.76
-23.16,113.76
-23.04,113.82
-19.79,149.07
-23.17,113.76
-23.14,113.75
-22.1,113.88
-30.65,153
-17.43,151.07
-16.93,150
-16.94,149.99
-22.93,113.78
-21.85,114.17
-22.87,113.76
-21.84,114.18
-17.44,151.07
-17.42,151.07
-23.13,113.74
-21.87,114.16
-23.22,113.75
-16.94,150
-23.13,113.75
-23.14,113.77
-23.13,113.76
-16.53,150.28
-16.53,150.27
-23.21,113.76
-16.52,150.28
-23.2,113.76
-23.09,113.74
-16.3,149.96
-16.29,149.96
-30.11,153.2
-10.43,144.45
-10.44,144.45
-10.45,144.45
-10.44,144.43
-10.45,144.43
-10.37,144.53
-10.38,144.53
-9.97,144.69
-10.04,144.69
-9.99,144.68
-10.29,143.71
-10.29,143.72
-30.06,153.2
-11.63,136.93
-11.65,136.91
-11.66,136.83
-11.94,135.6
-11.3,133.8
-11.44,134.14
-11.43,134.13
-10.91,133.02
-10.9,133.03
-12.48,130.79
-12.49,130.79
-12.41,130.79
-12.41,130.81
-12.42,130.81
-11.22,129.66
-11.13,129.91
-10.91,130.1
-11.14,129.91
-9.89,129.55
-9.88,129.42
-9.88,129.29
-10.13,129.54
-10.84,129.22
-10.7,126.33
-10.7,126.34
-11.66,125.11
-11.72,125.02
-11.73,123.99
-11.98,123.34
-11.97,123.39
-11.97,123.38
-11.98,123.36
-12.24,122.99
-12.22,123.01
-12.22,123
-12.24,122.98
-12.24,123
-12.21,123.04
-12.2,123.03
-12.2,123.04
-12.21,123.05
-12.18,123.07
-12.19,123.08
-12.17,123.06
-12.53,123.58
-12.54,123.57
-12.52,123.56
-12.53,123.57
-12.8,124.27
-12.56,124.04
-13.82,127.27
-10.96,132.23
-10.96,132.22
-10.33,132.71
-10.32,132.71
-11.29,133.8
-11.23,134.75
-12.06,136.61
-12.88,136.71
-12.89,136.73
-12.88,136.73
-10.74,141.06
-10.5,141.23
-10.74,141.05
-10.6,141.91
-10.61,141.91
-10.52,143.09
-11.77,143.65
-11.76,143.65
-14.51,145.52
-14.66,145.45
-14.52,145.53
-17.22,146.09
-17.23,146.1
-17.23,146.09
-17.52,146.5
-18.26,147.38
-18.27,147.38
-19.27,148.35
-19.27,148.34
-33.8,151.3
-33.8,151.27
-33.8,151.28
-28.17,153.55
-33.93,137.61
-33.93,137.6
-38.14,144.71
-35.12,150.76
-35.12,150.75
-38.11,144.66
-38.32,144.72
-38.29,144.63
-35.13,150.74
-35.07,150.7
-38.28,144.66
-38.27,144.65
-35.06,150.77
-35.02,150.76
-38.29,144.6
-38.3,144.61
-35.09,150.8
-35.08,150.79
-35.52,138.18
-38.31,144.8
-38.35,144.77
-38.36,144.77
-38.17,144.72
-28.16,153.53
-38.23,145.03
-31.52,159.07
-31.53,159.06
-31.54,159.07
-31.52,159.05
-31.54,159.06
-31.51,159.06
-31.51,159.05
-31.51,159.04
-31.5,159.07
-31.54,159.05
-31.56,159.07
-31.55,159.07
-31.57,159.07
-31.55,159.06
-31.52,159.04
-31.53,159.05
-31.52,159.08
-31.51,159.07
-31.56,159.1
-31.5,159.06
-31.75,159.24
-31.76,159.24
-31.57,159.1
-31.52,159.03
-31.6,159.08
-31.54,159.11
-31.58,159.07
-41.85,148.28
-43.12,147.97
-43.14,148
-33.59,115.2
-33.59,115.21
-33.59,115.23
-33.59,115.24
-33.6,115.22
-33.6,115.21
-43.45,146.98
-33.92,151.26
-32.62,152.33
-33.83,151.28
-34.07,151.13
-34.07,151.11
-43.53,147
-32.43,152.53
-32.46,152.55
-32.45,152.54
-32.47,152.55
-32.43,152.54
-43.02,147.34
-43.05,147.35
-43.53,146.99
-43.4,147.1
-43.39,147.1
-43.48,147.01
-43.41,147.1
-43.42,147.09
