"latitude","longitude","survey_date","class","order","family","genus","species","valid_genus","valid_species","biomass_mean","size_class_mean","total_mean","bodySize","ref_bodysize"
-43.3,147.1,2022-03-04,"Actinopterygii","Perciformes","Labridae","Pictilabrus","laticlavius","Pictilabrus","laticlavius",42.2,10.8,1.4,23,"Fishbase2022"
-43.3,147.1,2022-03-04,"Actinopterygii","Perciformes","Cheilodactylidae","Pseudogoniistius","nigripes","Pseudogoniistius","nigripes",204.6,20,1,41,"Fishbase2022"
-43.3,147.1,2022-03-04,"Actinopterygii","Gadiformes","Moridae","Pseudophycis","barbata","Pseudophycis","barbata",447.7,40,1,63,"Fishbase2022"
-43.3,147.1,2022-03-04,"Actinopterygii","Perciformes","Kyphosidae","Scorpis","lineolata","Scorpis","lineolata",18.4,10,1,30,"Fishbase2022"
-43.3,147.1,2022-03-04,"Actinopterygii","Perciformes","Odacidae","Siphonognathus","beddomei","Siphonognathus","beddomei",38.3,12.5,1,12,"Fishbase2022"
-43.3,147.1,2022-03-04,"Actinopterygii","Perciformes","Plesiopidae","Trachinops","caudimaculatus","Trachinops","caudimaculatus",574.3,5.4,182.8,15,"Fishbase2022"
-43.3,147.2,2021-03-22,"Actinopterygii","Tetraodontiformes","Monacanthidae","Acanthaluteres","vittiger","Acanthaluteres","vittiger",85.7,12.5,1,35,"Fishbase2022"
-43.3,147.2,2021-03-22,"Actinopterygii","Perciformes","Serranidae","Caesioperca","lepidoptera","Caesioperca","lepidoptera",1264.1,16.7,3.3,30,"Fishbase2022"
-43.3,147.2,2021-03-22,"Actinopterygii","Perciformes","Serranidae","Caesioperca","rasor","Caesioperca","rasor",443.8,15.5,2.1,25,"Fishbase2022"
-43.3,147.2,2021-03-22,"Elasmobranchii","Carcharhiniformes","Scyliorhinidae","Cephaloscyllium","laticeps","Cephaloscyllium","laticeps",1036.6,75,1,150,"Fishbase2022"
-43.3,147.2,2021-03-22,"Actinopterygii","Perciformes","Dinolestidae","Dinolestes","lewini","Dinolestes","lewini",1508.5,33.3,7.3,84,"Fishbase2022"
-43.3,147.2,2021-03-22,"Actinopterygii","Perciformes","Labridae","Dotalabrus","aurantiacus","Dotalabrus","aurantiacus",8.5,7.5,1,11.1,"Fishbase2022"
-43.3,147.2,2021-03-22,"Actinopterygii","Perciformes","Latridae","Latridopsis","forsteri","Latridopsis","forsteri",3093.9,43.8,3.8,65,"Fishbase2022"
-43.3,147.2,2021-03-22,"Actinopterygii","Tetraodontiformes","Monacanthidae","Meuschenia","freycineti","Meuschenia","freycineti",650.1,30,1,60,"Fishbase2022"
-43.3,147.2,2021-03-22,"Actinopterygii","Perciformes","Odacidae","Neoodax","balteatus","Neoodax","balteatus",66.8,10.4,3.2,14,"Fishbase2022"
-43.3,147.2,2021-03-22,"Actinopterygii","Perciformes","Labridae","Notolabrus","fucicola","Notolabrus","fucicola",531.4,30.9,1.4,38,"Fishbase2022"
-43.3,147.2,2021-03-22,"Actinopterygii","Perciformes","Labridae","Notolabrus","tetricus","Notolabrus","tetricus",670.1,26.9,2.7,50,"Fishbase2022"
-43.3,147.2,2021-03-22,"Actinopterygii","Perciformes","Labridae","Pictilabrus","laticlavius","Pictilabrus","laticlavius",117.8,17.5,1.2,23,"Fishbase2022"
-43.3,147.2,2021-03-22,"Actinopterygii","Perciformes","Labridae","Pseudolabrus","rubicundus","Pseudolabrus","rubicundus",65.5,15,1,NA,"Fishbase2022"
