"class","family","genus","species","valid_genus","valid_species","bodySize"
"Actinopterygii","Apogonidae","Vincentia","novaehollandiae","Vincentia","novaehollandiae",NA
"Actinopterygii","Apogonidae","Zoramia","fragilis","Zoramia","fragilis",5.5
"Actinopterygii","Apogonidae","Zoramia","spp.",NA,NA,NA
"Actinopterygii","Apogonidae","Zoramia","viridiventer","Zoramia","viridiventer",4.2
"Actinopterygii","Aracanidae","Caprichthys","gymnura","Caprichthys","gymnura",11
"Actinopterygii","Arripidae","Arripis","georgianus","Arripis","georgiana",41
"Actinopterygii","Arripidae","Arripis","spp.",NA,NA,NA
"Actinopterygii","Arripidae","Arripis","trutta","Arripis","trutta",89
"Actinopterygii","Arripidae","Arripis","truttaceus","Arripis","truttacea",96
"Actinopterygii","Arripidae","Arripis","xylabion","Arripis","xylabion",85
"Actinopterygii","Atherinidae","Atherinidae","spp.",NA,NA,NA
"Actinopterygii","Atherinidae","Atherinomorus","vaigiensis","Atherinomorus","vaigiensis",17
"Actinopterygii","Atherinidae","Leptatherina","presbyteroides","Leptatherina","presbyteroides",11
"Actinopterygii","Aulopidae","Latropiscis","purpurissatus","Latropiscis","purpurissatus",60
"Actinopterygii","Aulostomidae","Aulostomus","chinensis","Aulostomus","chinensis",80
"Actinopterygii","Balistidae","Abalistes","stellatus","Abalistes","stellatus",60
"Actinopterygii","Balistidae","Balistapus","undulatus","Balistapus","undulatus",30
"Actinopterygii","Balistidae","Balistidae","spp.",NA,NA,NA
"Actinopterygii","Balistidae","Balistoides","conspicillum","Balistoides","conspicillum",50
"Actinopterygii","Balistidae","Balistoides","viridescens","Balistoides","viridescens",75
"Actinopterygii","Balistidae","Melichthys","indicus","Melichthys","indicus",25
"Actinopterygii","Balistidae","Melichthys","niger","Melichthys","niger",50
"Actinopterygii","Balistidae","Melichthys","vidua","Melichthys","vidua",40
"Actinopterygii","Balistidae","Odonus","niger","Odonus","niger",50
"Actinopterygii","Balistidae","Pseudobalistes","flavimarginatus","Pseudobalistes","flavimarginatus",60
"Actinopterygii","Balistidae","Pseudobalistes","fuscus","Pseudobalistes","fuscus",55
"Actinopterygii","Balistidae","Rhinecanthus","aculeatus","Rhinecanthus","aculeatus",30
"Actinopterygii","Balistidae","Rhinecanthus","lunula","Rhinecanthus","lunula",28
"Actinopterygii","Balistidae","Rhinecanthus","rectangulus","Rhinecanthus","rectangulus",30
"Actinopterygii","Balistidae","Rhinecanthus","verrucosus","Rhinecanthus","verrucosus",23
"Actinopterygii","Balistidae","Sufflamen","bursa","Sufflamen","bursa",25
"Actinopterygii","Balistidae","Sufflamen","chrysopterum","Sufflamen","chrysopterum",30
"Actinopterygii","Balistidae","Sufflamen","fraenatum","Sufflamen","fraenatum",38
"Actinopterygii","Batrachoididae","Batrachomoeus","dubius","Batrachomoeus","dubius",35
"Actinopterygii","Batrachoididae","Halophryne","diemensis","Halophryne","diemensis",28
"Actinopterygii","Belonidae","Belonidae","spp.",NA,NA,NA
"Actinopterygii","Belonidae","Tylosurus","crocodilus","Tylosurus","crocodilus",150
"Actinopterygii","Belonidae","Tylosurus","gavialoides","Tylosurus","gavialoides",75
"Actinopterygii","Berycidae","Centroberyx","lineatus","Centroberyx","lineatus",46
"Actinopterygii","Blenniidae","Aspidontus","dussumieri","Aspidontus","dussumieri",12
"Actinopterygii","Blenniidae","Aspidontus","spp.",NA,NA,NA
