"class","family","genus","species","valid_genus","valid_species","bodySize","size_class"
"Actinopterygii","Aulostomidae","Aulostomus","chinensis","Aulostomus","chinensis",80,35
"Actinopterygii","Balistidae","Abalistes","stellatus","Abalistes","stellatus",60,30
"Actinopterygii","Balistidae","Balistapus","undulatus","Balistapus","undulatus",30,15
"Actinopterygii","Balistidae","Balistidae","spp.",NA,NA,21.8121371626954,5
"Actinopterygii","Balistidae","Balistoides","conspicillum","Balistoides","conspicillum",50,30
"Actinopterygii","Balistidae","Balistoides","viridescens","Balistoides","viridescens",75,40
"Actinopterygii","Balistidae","Melichthys","indicus","Melichthys","indicus",25,15
"Actinopterygii","Balistidae","Melichthys","niger","Melichthys","niger",50,15
"Actinopterygii","Balistidae","Melichthys","vidua","Melichthys","vidua",40,15
"Actinopterygii","Balistidae","Odonus","niger","Odonus","niger",50,15
"Actinopterygii","Balistidae","Pseudobalistes","flavimarginatus","Pseudobalistes","flavimarginatus",60,35
"Actinopterygii","Balistidae","Pseudobalistes","fuscus","Pseudobalistes","fuscus",55,25
"Actinopterygii","Balistidae","Rhinecanthus","aculeatus","Rhinecanthus","aculeatus",30,10
"Actinopterygii","Balistidae","Rhinecanthus","lunula","Rhinecanthus","lunula",28,15
"Actinopterygii","Balistidae","Rhinecanthus","rectangulus","Rhinecanthus","rectangulus",30,12.5
"Actinopterygii","Balistidae","Rhinecanthus","verrucosus","Rhinecanthus","verrucosus",23,10
"Actinopterygii","Balistidae","Sufflamen","bursa","Sufflamen","bursa",25,12.5
"Actinopterygii","Balistidae","Sufflamen","chrysopterum","Sufflamen","chrysopterum",30,30
"Actinopterygii","Balistidae","Sufflamen","fraenatum","Sufflamen","fraenatum",38,15
"Actinopterygii","Batrachoididae","Batrachomoeus","dubius","Batrachomoeus","dubius",35,25
"Actinopterygii","Batrachoididae","Halophryne","diemensis","Halophryne","diemensis",28,25
"Actinopterygii","Belonidae","Belonidae","spp.",NA,NA,30.4515829414552,5
"Actinopterygii","Belonidae","Tylosurus","crocodilus","Tylosurus","crocodilus",150,87.5
"Actinopterygii","Belonidae","Tylosurus","gavialoides","Tylosurus","gavialoides",75,50
"Actinopterygii","Berycidae","Centroberyx","lineatus","Centroberyx","lineatus",46,40
"Actinopterygii","Blenniidae","Aspidontus","dussumieri","Aspidontus","dussumieri",12,10
"Actinopterygii","Blenniidae","Aspidontus","spp.",NA,NA,8.64413034445039,5
"Actinopterygii","Blenniidae","Aspidontus","taeniatus","Aspidontus","taeniatus",11.5,5
"Actinopterygii","Blenniidae","Atrosalarias","holomelas","Atrosalarias","holomelas",14.5,5
"Actinopterygii","Blenniidae","Blenniella","chrysospilos","Blenniella","chrysospilos",13,5
"Actinopterygii","Blenniidae","Blenniidae","spp.",NA,NA,8.64413034445039,5
"Actinopterygii","Blenniidae","Cirripectes","alboapicalis","Cirripectes","alboapicalis",15.5,12.5
"Actinopterygii","Blenniidae","Cirripectes","alleni","Cirripectes","alleni",6.5,5
"Actinopterygii","Blenniidae","Cirripectes","castaneus","Cirripectes","castaneus",9.2,7.5
"Actinopterygii","Blenniidae","Cirripectes","chelomatus","Cirripectes","chelomatus",9.4,10
"Actinopterygii","Blenniidae","Cirripectes","filamentosus","Cirripectes","filamentosus",7.5,5
"Actinopterygii","Blenniidae","Cirripectes","hutchinsi","Cirripectes","hutchinsi",10.6,10
"Actinopterygii","Blenniidae","Cirripectes","spp.",NA,NA,8.64413034445039,5
"Actinopterygii","Blenniidae","Cirripectes","stigmaticus","Cirripectes","stigmaticus",10,7.5
"Actinopterygii","Blenniidae","Cirripectes","variolosus","Cirripectes","variolosus",8.9,2.5
"Actinopterygii","Blenniidae","Crossosalarias","macrospilus","Crossosalarias","macrospilus",10,5
"Actinopterygii","Blenniidae","Ecsenius","aequalis","Ecsenius","aequalis",4.3,5
"Actinopterygii","Blenniidae","Ecsenius","alleni","Ecsenius","alleni",3.4,2.5
"Actinopterygii","Blenniidae","Ecsenius","bicolor","Ecsenius","bicolor",11,5
"Actinopterygii","Blenniidae","Ecsenius","fourmanoiri","Ecsenius","fourmanoiri",4.9,2.5
"Actinopterygii","Blenniidae","Ecsenius","lividanalis","Ecsenius","lividanalis",5,2.5
"Actinopterygii","Blenniidae","Ecsenius","mandibularis","Ecsenius","mandibularis",7.5,5
"Actinopterygii","Blenniidae","Ecsenius","midas","Ecsenius","midas",13,5
"Actinopterygii","Blenniidae","Ecsenius","oculatus","Ecsenius","oculatus",4.7,5
"Actinopterygii","Blenniidae","Ecsenius","sp.",NA,NA,8.64413034445039,5
"Actinopterygii","Blenniidae","Ecsenius","spp.",NA,NA,8.64413034445039,5
"Actinopterygii","Blenniidae","Ecsenius","stictus","Ecsenius","stictus",5.8,2.5
"Actinopterygii","Blenniidae","Ecsenius","trilineatus","Ecsenius","trilineatus",3,5
"Actinopterygii","Blenniidae","Ecsenius","yaeyamaensis","Ecsenius","yaeyamaensis",6,2.5
"Actinopterygii","Blenniidae","Exallias","brevis","Exallias","brevis",14.5,7.5
"Actinopterygii","Blenniidae","Glyptoparus","delicatulus","Glyptoparus","delicatulus",5,2.5
"Actinopterygii","Blenniidae","Glyptoparus","sp.",NA,NA,8.64413034445039,5
"Actinopterygii","Blenniidae","Meiacanthus","atrodorsalis","Meiacanthus","atrodorsalis",11,2.5
"Actinopterygii","Blenniidae","Meiacanthus","ditrema","Meiacanthus","ditrema",6.5,5
"Actinopterygii","Blenniidae","Meiacanthus","grammistes","Meiacanthus","grammistes",11,5
"Actinopterygii","Blenniidae","Meiacanthus","lineatus","Meiacanthus","lineatus",9.5,7.5
"Actinopterygii","Blenniidae","Meiacanthus","phaeus","Meiacanthus","phaeus",8.64413034445039,5
"Actinopterygii","Blenniidae","Meiacanthus","reticulatus","Meiacanthus","reticulatus",6.3,5
"Actinopterygii","Blenniidae","Meiacanthus","spp.",NA,NA,8.64413034445039,5
"Actinopterygii","Blenniidae","Omobranchus","anolius","Omobranchus","anolius",7.5,5
"Actinopterygii","Blenniidae","Parablennius","intermedius","Parablennius","intermedius",12,7.5
"Actinopterygii","Blenniidae","Parablennius","serratolineatus","Parablennius","serratolineatus",5.42654536176235,2.5
"Actinopterygii","Blenniidae","Parablennius","tasmanianus","Parablennius","tasmanianus",13,5
"Actinopterygii","Blenniidae","Petroscirtes","fallax","Petroscirtes","fallax",9.5,2.5
"Actinopterygii","Blenniidae","Petroscirtes","lupus","Petroscirtes","lupus",13,7.5
"Actinopterygii","Blenniidae","Plagiotremus","laudandus","Plagiotremus","laudandus",8,5
"Actinopterygii","Blenniidae","Plagiotremus","rhinorhynchos","Plagiotremus","rhinorhynchos",12,5
"Actinopterygii","Blenniidae","Plagiotremus","tapeinosoma","Plagiotremus","tapeinosoma",14,7.5
"Actinopterygii","Blenniidae","Salarias","ceramensis","Salarias","ceramensis",15,7.5
"Actinopterygii","Blenniidae","Salarias","fasciatus","Salarias","fasciatus",14,5
"Actinopterygii","Blenniidae","Salarias","guttatus","Salarias","guttatus",10,5
"Actinopterygii","Blenniidae","Salarias","patzneri","Salarias","patzneri",5.5,7.5
"Actinopterygii","Blenniidae","Stanulus","talboti","Stanulus","talboti",4.8,5
"Actinopterygii","Bovichtidae","Bovichtus","angustifrons","Bovichtus","angustifrons",28,7.5
"Actinopterygii","Caesionidae","Caesio","caerulaurea","Caesio","caerulaurea",35,20
"Actinopterygii","Caesionidae","Caesio","cuning","Caesio","cuning",60,25
"Actinopterygii","Caesionidae","Caesio","lunaris","Caesio","lunaris",40,12.5
"Actinopterygii","Caesionidae","Caesio","teres","Caesio","teres",40,15
"Actinopterygii","Caesionidae","Pterocaesio","digramma","Pterocaesio","digramma",30,12.5
"Actinopterygii","Caesionidae","Pterocaesio","marri","Pterocaesio","marri",35,25
"Actinopterygii","Caesionidae","Pterocaesio","pisang","Pterocaesio","pisang",21,10
"Actinopterygii","Caesionidae","Pterocaesio","spp.",NA,NA,19.5401589696781,5
"Actinopterygii","Caesionidae","Pterocaesio","tile","Pterocaesio","tile",30,15
"Actinopterygii","Caesionidae","Pterocaesio","trilineata","Pterocaesio","trilineata",20,15
"Actinopterygii","Callanthiidae","Callanthias","australis","Callanthias","australis",49,7.5
"Actinopterygii","Callionymidae","Anaora","tentaculata","Anaora","tentaculata",6,5
"Actinopterygii","Callionymidae","Diplogrammus","goramensis","Diplogrammus","goramensis",10,2.5
"Actinopterygii","Callionymidae","Eocallionymus","papilio","Eocallionymus","papilio",10,7.5
"Actinopterygii","Callionymidae","Foetorepus","calauropomus","Foetorepus","calauropomus",30,5
"Actinopterygii","Callionymidae","Synchiropus","moyeri","Synchiropus","moyeri",7.5,2.5
"Actinopterygii","Callionymidae","Synchiropus","spp.",NA,NA,13.3435169965375,5
"Actinopterygii","Carangidae","Alepes","vari","Alepes","vari",56,30
"Actinopterygii","Carangidae","Atule","mate","Atule","mate",30,12.5
"Actinopterygii","Carangidae","Carangidae","spp.",NA,NA,62.6401807639398,5
"Actinopterygii","Carangidae","Carangoides","ferdau","Carangoides","ferdau",70,50
"Actinopterygii","Carangidae","Carangoides","fulvoguttatus","Carangoides","fulvoguttatus",120,50
"Actinopterygii","Carangidae","Carangoides","gymnostethus","Carangoides","gymnostethus",90,35
"Actinopterygii","Carangidae","Carangoides","orthogrammus","Ferdauia","orthogrammus",70,40
"Actinopterygii","Carangidae","Carangoides","plagiotaenia","Carangoides","plagiotaenia",50,25
"Actinopterygii","Carangidae","Caranx","ignobilis","Caranx","ignobilis",170,87.5
"Actinopterygii","Carangidae","Caranx","lugubris","Caranx","lugubris",100,25
"Actinopterygii","Carangidae","Caranx","melampygus","Caranx","melampygus",117,35
"Actinopterygii","Carangidae","Caranx","papuensis","Caranx","papuensis",88,35
"Actinopterygii","Carangidae","Caranx","sexfasciatus","Caranx","sexfasciatus",120,30
"Actinopterygii","Carangidae","Caranx","spp.",NA,NA,62.6401807639398,5
"Actinopterygii","Carangidae","Decapterus","macarellus","Decapterus","macarellus",46,10
"Actinopterygii","Carangidae","Decapterus","muroadsi","Decapterus","muroadsi",50,12.5
"Actinopterygii","Carangidae","Decapterus","spp.",NA,NA,62.6401807639398,5
"Actinopterygii","Carangidae","Elagatis","bipinnulata","Elagatis","bipinnulata",180,62.5
"Actinopterygii","Carangidae","Gnathanodon","speciosus","Gnathanodon","speciosus",120,40
"Actinopterygii","Carangidae","Pseudocaranx","dentex","Pseudocaranx","dentex",122,10
"Actinopterygii","Carangidae","Pseudocaranx","georgianus","Pseudocaranx","dentex",122,10
"Actinopterygii","Carangidae","Pseudocaranx","spp.",NA,NA,62.6401807639398,5
"Actinopterygii","Carangidae","Pseudocaranx","wrighti","Pseudocaranx","wrighti",70,30
"Actinopterygii","Carangidae","Scomberoides","lysan","Scomberoides","lysan",110,50
"Actinopterygii","Carangidae","Selaroides","leptolepis","Selaroides","leptolepis",22,7.5
"Actinopterygii","Carangidae","Seriola","dumerili","Seriola","dumerili",190,50
"Actinopterygii","Carangidae","Seriola","hippos","Seriola","hippos",150,40
